ID,Product Name,Product Description,Price,Color,Product Type,Occasion,Skin Tone Category
BPO230604,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,8990,PURPLE,Complete Outfit,Wedding,Deep/Dark
BDS230604,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7790,RED,Complete Outfit,Wedding,Deep/Dark
BDS230602,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,8190,BEIGE,Complete Outfit,Wedding,Light/Fair
BDS230601,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7190,WHITE,Complete Outfit,Wedding,Light/Fair
MLA230703,Fabrics 2 Piece,Printed Embroidered Lawn | Top Dupatta,4390,BLACK,2 Piece Outfit,Casual,Deep/Dark
ILA230704,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3990,BROWN,2 Piece Outfit,Casual,Deep/Dark
ILA230701,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3590,BLACK,2 Piece Outfit,Casual,Deep/Dark
LLA230703,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2590,ORANGE,2 Piece Outfit,Casual,Deep/Dark
LRI230601,Fabrics 2 Piece,Printed Lawn | Top Dupatta,3590,RED,2 Piece Outfit,Casual,Deep/Dark
MLA230704,Fabrics 2 Piece,Printed Embroidered Lawn | Top Dupatta,4390,BLUE,2 Piece Outfit,Casual,Deep/Dark
LLA230711,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,MUSTARD,2 Piece Outfit,Casual,Deep/Dark
LRI230602,Fabrics 2 Piece,Printed Lawn | Top Dupatta,3590,MUSTARD,2 Piece Outfit,Casual,Deep/Dark
ILA230703,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,4190,WHITE,2 Piece Outfit,Casual,Light/Fair
ILA230702,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3590,PURPLE,2 Piece Outfit,Casual,Deep/Dark
LLA230810,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,RED,2 Piece Outfit,Casual,Deep/Dark
LLA230809,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,MUSTARD,2 Piece Outfit,Casual,Deep/Dark
ALA230817,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,BEIGE,Complete Outfit,Casual,Light/Fair
BLA230809,Fabrics 3 Piece Suit,Printed Embroidered Lawn | Top Bottoms Dupatta,3690,BEIGE,Complete Outfit,Casual,Light/Fair
ALA230818,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,MUSTARD,Complete Outfit,Casual,Deep/Dark
BLA230806,Fabrics 3 Piece Suit,Printed Embroidered Lawn | Top Bottoms Dupatta,4390,PINK,Complete Outfit,Casual,Light/Fair
LLA230807,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2490,PURPLE,2 Piece Outfit,Casual,Deep/Dark
ALA230820,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,BLACK,Complete Outfit,Casual,Deep/Dark
ALA230806,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,RED,Complete Outfit,Casual,Deep/Dark
JLA230801,Fabrics 2 Piece,Printed Lawn | Top Bottoms,2390,BEIGE,2 Piece Outfit,Casual,Light/Fair
ALA230803,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,OFF-WHITE,Complete Outfit,Casual,Light/Fair
AMA231003,Fabrics 3 Piece Suit,Printed Marina Twill | Top Bottoms Dupatta,4990,TEAL,Complete Outfit,Casual,Light/Fair
AJ230601,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,BLUE,Complete Outfit,Casual,Deep/Dark
AJ230604,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,RED,Complete Outfit,Casual,Deep/Dark
AJ230602,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,BLACK,Complete Outfit,Casual,Deep/Dark
AJ230603,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,MUSTARD,Complete Outfit,Casual,Deep/Dark
KKF230601,Fabrics 3 Piece Suit | Khaas,Dyed Embroidered Viscose Silk | Top Bottoms Dupatta,18990,BLACK,Complete Outfit,Formal,Deep/Dark
AMA231006,Fabrics 3 Piece Suit,Printed Marina Twill | Top Bottoms Dupatta,4990,PURPLE,Complete Outfit,Casual,Deep/Dark
ALK231015,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,BLACK,Complete Outfit,Casual,Deep/Dark
BCH231004,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,BLUE,Complete Outfit,Formal,Deep/Dark
BK231003,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,PINK,Complete Outfit,Casual,Light/Fair
LLK231003,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2890,D-PINK,2 Piece Outfit,Casual,Deep/Dark
LK231001,Fabrics 2 Piece,Printed Khaddar | Top Dupatta,2590,BLACK,2 Piece Outfit,Casual,Deep/Dark
LLK231002,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2890,OFF-WHITE,2 Piece Outfit,Casual,Light/Fair
ICH231002,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,MUSTARD,2 Piece Outfit,Formal,Deep/Dark
MCH231002,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Dupatta,3990,CORAL,2 Piece Outfit,Formal,Light/Fair
MLK231002,Fabrics 2 Piece Suit,Printed Embroidered Light Khaddar | Top Dupatta,3390,OFF-WHITE,2 Piece Outfit,Casual,Light/Fair
IK231001,Fabrics 2 Piece,Printed Embroidered Khaddar | Top Bottoms,3290,RUST,2 Piece Outfit,Casual,Deep/Dark
MCA231002,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,YELLOW,2 Piece Outfit,Casual,Medium/Olive
MCA231001,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,TEAL,2 Piece Outfit,Casual,Light/Fair
MCH231001,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Dupatta,3990,OLIVE,2 Piece Outfit,Formal,Medium/Olive
MCA231003,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,BLACK,2 Piece Outfit,Casual,Deep/Dark
ICH231001,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,NAVY,2 Piece Outfit,Formal,Deep/Dark
ICH231003,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,BLACK,2 Piece Outfit,Formal,Deep/Dark
ISCH231003,Fabrics 2 Piece,Printed Embroidered Slub Crosshatch | Top Bottoms,3990,L-YELLOW,2 Piece Outfit,Formal,Light/Fair
ISCH231004,Fabrics 2 Piece,Printed Embroidered Slub Crosshatch | Top Bottoms,3990,L-GREEN,2 Piece Outfit,Formal,Light/Fair
LLK231001,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2590,GREEN,2 Piece Outfit,Casual,Deep/Dark
LK231002,Fabrics 2 Piece,Printed Khaddar | Top Dupatta,2590,RED,2 Piece Outfit,Casual,Deep/Dark
LLA230913,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2990,BLACK,2 Piece Outfit,Casual,Deep/Dark
JLK231003,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2790,BLACK,2 Piece Outfit,Casual,Deep/Dark
JLK231004,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2790,RED,2 Piece Outfit,Casual,Deep/Dark
EET24144,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET24145,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET24150,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET24147,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET23530,Classic Kurta,Dyed Embroidered | Crosshatch,3490,RUST,Top,Formal,Deep/Dark
EET23516,Choga,Printed | Khaddar,2990,BLACK,Top,Casual,Deep/Dark
EET24142,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET24149,Classic Kurta,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET24143,Classic Kurta,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EKT231023,Side Open Long Kameez,Yarn Dyed Embroidered | Raw Silk,20990,MAROON,Top,Wedding,Deep/Dark
EKT231025,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,27990,OFF-WHITE,Top,Wedding,Light/Fair
EKT231023B,Flared Pants,Yarn Dyed Embroidered | Raw Silk,6990,RED,Bottom,Wedding,Deep/Dark
EKS231012,Dupatta,Yarn Dyed Embroidered | Cotton Net,7990,RED,Accessory,Wedding,Deep/Dark
EKB231011,Narrow Culottes,Yarn Dyed Embroidered | Raw Silk,7990,OFF-WHITE,Bottom,Wedding,Light/Fair
EKT231022,Front Open Kameez,Yarn Dyed Embroidered | Raw Silk,29990,BLUE,Top,Wedding,Deep/Dark
EKT231028,Front Open Kameez,Yarn Dyed Embroidered | Cotton Net,27990,GREEN,Top,Wedding,Deep/Dark
EKT231024,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,24990,PINK,Top,Wedding,Light/Fair
EKT231021,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,24990,YELLOW,Top,Wedding,Medium/Olive
EKS231011,Dupatta,Yarn Dyed Embroidered | Cotton Net,12990,OFF-White,Accessory,Wedding,Light/Fair
EKT231021S,Dupatta,Yarn Dyed Embroidered | Cotton Net,12990,YELLOW,Accessory,Wedding,Medium/Olive
EKS231011S,Dupatta,Yarn Dyed Embroidered | Cotton Net,9990,OFF-White,Accessory,Wedding,Light/Fair
EKT22322,Flared Kurta,Dyed Embroidered | Viscose Oak Silk,34990,BLACK,Top,Wedding,Deep/Dark
EKB22310,Flared Pants,Dyed Embroidered | Viscose Oak Silk,8990,BLACK,Bottom,Wedding,Deep/Dark
EKT22324,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,24990,GREEN,Top,Wedding,Deep/Dark
EKB22312,Straight Pants,Dyed Embroidered | Viscose Oak Silk,5990,PINK,Bottom,Wedding,Light/Fair
EKB22309,Narrow Culottes,Dyed Embroidered | Viscose Oak Silk,5990,GREEN,Bottom,Wedding,Deep/Dark
EKT22323,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,29990,PINK,Top,Wedding,Light/Fair
EKT22319,Classic Kurta,Printed Embroidered | Viscose Oak Silk,19990,GREEN,Top,Wedding,Deep/Dark
EKT22318,Classic Kurta,Printed Embroidered | Viscose Oak Silk,24990,BLACK,Top,Wedding,Deep/Dark
EKT22317,Flared Kameez,Printed Embroidered | Viscose Oak Silk,39990,MULTI,Top,Wedding,Deep/Dark
EKT22320,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,29990,MUSTARD,Top,Wedding,Deep/Dark
EKT22320B,Narrow Culottes,Dyed Embroidered | Viscose Oak Silk,5990,MUSTARD,Bottom,Wedding,Deep/Dark
EET235136,Kali Kurta,Printed Embroidered | Dobby,4190,PINK,Top,Formal,Light/Fair
EET235135,Kali Kurta,Dyed Embroidered | Dobby,3990,NAVY,Top,Formal,Deep/Dark
EEB23590,Straight Pants,Dyed | Dobby,1990,NAVY,Bottom,Casual,Deep/Dark
EET235134,Flared Kameez,Printed Embroidered | Dobby,3990,PURPLE,Top,Formal,Deep/Dark
EET235129,Kali Kurta,Printed Embroidered | Dobby,3990,YELLOW,Top,Formal,Medium/Olive
EEB23591,Narrow Culottes,Printed | Dobby,1990,PINK,Bottom,Casual,Light/Fair
EEB23586,Narrow Culottes,Printed | Dobby,1990,YELLOW,Bottom,Casual,Medium/Olive
EET235139,Flared Kameez,Dyed Embroidered | Dobby,4190,OFF-WHITE,Top,Formal,Light/Fair
EEB23592,Tapered Shalwar,Dyed | Dobby,1990,OFF-WHITE,Bottom,Casual,Light/Fair
EET235130,A Line Kameez,Printed | Dobby,3490,OFF-WHITE,Top,Casual,Light/Fair
EET235132,Contemporary Kameez,Printed | Dobby,3490,PINK,Top,Casual,Light/Fair
EET235133,Contemporary Kameez,Dyed Embroidered | Dobby,4190,PINK,Top,Formal,Light/Fair
EST23210,Classic Kameez,Dyed Embroidered | Organza,7490,BLACK,Top,Wedding,Deep/Dark
EST23215T,Classic Kameez,Printed | Viscose Oak Silk,6490,BLUE,Top,Casual,Deep/Dark
EST23212,Classic Kameez,Printed Embroidered | Viscose Oak Silk,7490,BLUE,Top,Wedding,Deep/Dark
EST23201,Contemporary Kameez,Dyed Embroidered | Bamber Chiffon,10990,OFF-WHITE,Top,Wedding,Light/Fair
EST23205,Contemporary Kameez,Dyed Embroidered | Viscose Oak Silk,7990,BLACK,Top,Wedding,Deep/Dark
EST23206,Drop Shoulder,Dyed Embroidered | Viscose Oak Silk,6990,BEIGE,Other,Wedding,Light/Fair
EST23213,Classic Kameez,Printed Embroidered | Viscose Oak Silk,6990,CORAL,Top,Wedding,Light/Fair
EST23211,Classic Kurta,Printed Embroidered | Viscose Oak Silk,5990,WHITE,Top,Wedding,Light/Fair
EST23208,Classic Kurta,Printed | Organza,4990,BLUE,Top,Casual,Deep/Dark
EST23202,Classic Kameez,Printed Embroidered | Bamber Chiffon,8990,GREEN,Top,Wedding,Deep/Dark
EST23215,Classic Kameez,Printed | Viscose Oak Silk,6490,BLUE,Top,Casual,Deep/Dark
EST23203,Drop Shoulder,Dyed Embroidered | Bamber Chiffon,9990,BLUE,Other,Wedding,Deep/Dark
EET23395,Classic Kurta,Printed Embroidered | Lawn,3690,BLACK,Top,Casual,Deep/Dark
EET23392,Flared Kameez,Printed Embroidered | Lawn,3690,BLUE,Top,Casual,Deep/Dark
EET23394,Classic Kurta,Printed | Lawn,3490,OFF-WHITE,Top,Casual,Light/Fair
EET23392B,Tulip Shalwar,Printed | Lawn,2190,BLUE,Bottom,Casual,Deep/Dark
EET23391B,Tulip Shalwar,Printed | Lawn,2190,BEIGE,Bottom,Casual,Light/Fair
EET23391,Drop Shoulder,Printed | Lawn,3490,BEIGE,Other,Casual,Light/Fair
EET23390,Contemporary Kameez,Printed Embroidered | Lawn,3690,WHITE,Top,Casual,Light/Fair
EET23393,Classic Kurta,Printed | Lawn,3490,BLUE,Top,Casual,Deep/Dark
EET23395B,Narrow Culottes,Printed Embroidered | Lawn,2190,BLACK,Bottom,Casual,Deep/Dark
EET23394B,Narrow Culottes,Printed | Lawn,1990,OFF-WHITE,Bottom,Casual,Light/Fair
EET23390B,Straight Pants,Printed | Lawn,1990,WHITE,Bottom,Casual,Light/Fair
EET23393B,Narrow Culottes,Printed | Lawn,1990,BLUE,Bottom,Casual,Deep/Dark
EET23310T,Classic Kurta,Dyed Embroidered | Cotton Cottel,5990,MUSTARD,Top,Formal,Deep/Dark
EET23201,Raglan,Yarn Dyed | Cotton Polyester Broshia Jacquard,3990,BLACK,Top,Casual,Deep/Dark
EET23451,Classic Kameez,Yarn Dyed Embroidered | Mesuri,3690,TEAL,Top,Wedding,Light/Fair
EET23215,Classic Kurta,Yarn Dyed | Yarn Dyed Stripes,3490,PINK,Top,Casual,Light/Fair
