ID,Product Name,Product Description,Price,Color
EET23516,Choga,Printed | Khaddar,2990,BLACK
EET24142,Classic Kameez,Printed | Cambric,2490,MULTI
EET24149,Classic Kurta,Printed | Cambric,2490,MULTI
EET24143,Classic Kurta,Printed | Cambric,2490,MULTI
EKT231023,Side Open Long Kameez,Yarn Dyed Embroidered | Raw Silk,20990,MAROON
EKT231025,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,27990,OFF-WHITE
EKT231023B,Flared Pants,Yarn Dyed Embroidered | Raw Silk,6990,RED
EKS231012,Dupatta,Yarn Dyed Embroidered | Cotton Net,7990,RED
EKB231011,Narrow Culottes,Yarn Dyed Embroidered | Raw Silk,7990,OFF-WHITE
EKT231022,Front Open Kameez,Yarn Dyed Embroidered | Raw Silk,29990,BLUE
EKT231028,Front Open Kameez,Yarn Dyed Embroidered | Cotton Net,27990,GREEN
EKT231024,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,24990,PINK
EKT231021,Classic Kameez,Yarn Dyed Embroidered | Cotton Net,24990,YELLOW
EKS231011,Dupatta,Yarn Dyed Embroidered | Cotton Net,12990,OFF-White
EKT231021S,Dupatta,Yarn Dyed Embroidered | Cotton Net,12990,YELLOW
EKS231011S,Dupatta,Yarn Dyed Embroidered | Cotton Net,9990,OFF-White
EKT22322,Flared Kurta,Dyed Embroidered | Viscose Oak Silk,34990,BLACK
EKB22310,Flared Pants,Dyed Embroidered | Viscose Oak Silk,8990,BLACK
EKT22324,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,24990,GREEN
EKB22312,Straight Pants,Dyed Embroidered | Viscose Oak Silk,5990,PINK
EKB22309,Narrow Culottes,Dyed Embroidered | Viscose Oak Silk,5990,GREEN
EKT22323,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,29990,PINK
EKT22319,Classic Kurta,Printed Embroidered | Viscose Oak Silk,19990,GREEN
EKT22318,Classic Kurta,Printed Embroidered | Viscose Oak Silk,24990,BLACK
EKT22317,Flared Kameez,Printed Embroidered | Viscose Oak Silk,39990,MULTI
EKT22320,Classic Kameez,Dyed Embroidered | Viscose Oak Silk,29990,MUSTARD
EKT22320B,Narrow Culottes,Dyed Embroidered | Viscose Oak Silk,5990,MUSTARD
EET235136,Kali Kurta,Printed Embroidered | Dobby,4190,PINK
EET235135,Kali Kurta,Dyed Embroidered | Dobby,3990,NAVY
EEB23590,Straight Pants,Dyed | Dobby,1990,NAVY
EET235134,Flared Kameez,Printed Embroidered | Dobby,3990,PURPLE
EET235129,Kali Kurta,Printed Embroidered | Dobby,3990,YELLOW
EEB23591,Narrow Culottes,Printed | Dobby,1990,PINK
EEB23586,Narrow Culottes,Printed | Dobby,1990,YELLOW
EET235139,Flared Kameez,Dyed Embroidered | Dobby,4190,OFF-WHITE
EEB23592,Tapered Shalwar,Dyed | Dobby,1990,OFF-WHITE
EET235130,A Line Kameez,Printed | Dobby,3490,OFF-WHITE
EET235132,Contemporary Kameez,Printed | Dobby,3490,PINK
EET235133,Contemporary Kameez,Dyed Embroidered | Dobby,4190,PINK
EST23210,Classic Kameez,Dyed Embroidered | Organza,7490,BLACK
EST23215T,Classic Kameez,Printed | Viscose Oak Silk,6490,BLUE
EST23212,Classic Kameez,Printed Embroidered | Viscose Oak Silk,7490,BLUE
EST23201,Contemporary Kameez,Dyed Embroidered | Bamber Chiffon,10990,OFF-WHITE
EST23205,Contemporary Kameez,Dyed Embroidered | Viscose Oak Silk,7990,BLACK
EST23206,Drop Shoulder,Dyed Embroidered | Viscose Oak Silk,6990,BEIGE
EST23213,Classic Kameez,Printed Embroidered | Viscose Oak Silk,6990,CORAL
EST23211,Classic Kurta,Printed Embroidered | Viscose Oak Silk,5990,WHITE
EST23208,Classic Kurta,Printed | Organza,4990,BLUE
EST23202,Classic Kameez,Printed Embroidered | Bamber Chiffon,8990,GREEN
EST23215,Classic Kameez,Printed | Viscose Oak Silk,6490,BLUE
EST23203,Drop Shoulder,Dyed Embroidered | Bamber Chiffon,9990,BLUE
EET23395,Classic Kurta,Printed Embroidered | Lawn,3690,BLACK
EET23392,Flared Kameez,Printed Embroidered | Lawn,3690,BLUE
EET23394,Classic Kurta,Printed | Lawn,3490,OFF-WHITE
EET23392B,Tulip Shalwar,Printed | Lawn,2190,BLUE
EET23391B,Tulip Shalwar,Printed | Lawn,2190,BEIGE
EET23391,Drop Shoulder,Printed | Lawn,3490,BEIGE
EET23390,Contemporary Kameez,Printed Embroidered | Lawn,3690,WHITE
EET23393,Classic Kurta,Printed | Lawn,3490,BLUE
EET23395B,Narrow Culottes,Printed Embroidered | Lawn,2190,BLACK
EET23394B,Narrow Culottes,Printed | Lawn,1990,OFF-WHITE
EET23390B,Straight Pants,Printed | Lawn,1990,WHITE
EET23393B,Narrow Culottes,Printed | Lawn,1990,BLUE
EET23310T,Classic Kurta,Dyed Embroidered | Cotton Cottel,5990,MUSTARD
EET23201,Raglan,Yarn Dyed | Cotton Polyester Broshia Jacquard,3990,BLACK
EET23451,Classic Kameez,Yarn Dyed Embroidered | Mesuri,3690,TEAL
EET23215,Classic Kurta,Yarn Dyed | Yarn Dyed Stripes,3490,PINK
EET23207TT,Classic Kameez,Printed | Cambric,2990,BLUE
